State,Year,Number of Births
Alabama,2016,59151
Alabama,2017,58941
Alabama,2018,57761
Alabama,2019,58615
Alabama,2020,57647
Alabama,2021,58054
Alaska,2016,11209
Alaska,2017,10445
Alaska,2018,10086
Alaska,2019,9822
Alaska,2020,9469
Alaska,2021,9367
Arizona,2016,84520
Arizona,2017,81872
Arizona,2018,80723
Arizona,2019,79375
Arizona,2020,76947
Arizona,2021,77916
Arkansas,2016,38274
Arkansas,2017,37520
Arkansas,2018,37018
Arkansas,2019,36564
Arkansas,2020,35251
Arkansas,2021,35965
California,2016,488827
California,2017,471658
California,2018,454920
California,2019,446479
California,2020,420259
California,2021,420608
Colorado,2016,66613
Colorado,2017,64382
Colorado,2018,62885
Colorado,2019,62869
Colorado,2020,61494
Colorado,2021,62949
Connecticut,2016,36015
Connecticut,2017,35221
Connecticut,2018,34725
Connecticut,2019,34258
Connecticut,2020,33460
Connecticut,2021,35670
Delaware,2016,10992
Delaware,2017,10855
Delaware,2018,10621
Delaware,2019,10562
Delaware,2020,10392
Delaware,2021,10482
District of Columbia,2016,9858
District of Columbia,2017,9560
District of Columbia,2018,9212
District of Columbia,2019,9079
District of Columbia,2020,8874
District of Columbia,2021,8660
Florida,2016,225022
Florida,2017,223630
Florida,2018,221542
Florida,2019,220002
Florida,2020,209671
Florida,2021,216260
Georgia,2016,130042
Georgia,2017,129243
Georgia,2018,126172
Georgia,2019,126371
Georgia,2020,122473
Georgia,2021,124073
Hawaii,2016,18059
Hawaii,2017,17517
Hawaii,2018,16972
Hawaii,2019,16797
Hawaii,2020,15785
Hawaii,2021,15620
Idaho,2016,22482
Idaho,2017,22181
Idaho,2018,21403
Idaho,2019,22063
Idaho,2020,21533
Idaho,2021,22427
Illinois,2016,154445
Illinois,2017,149390
Illinois,2018,144815
Illinois,2019,140128
Illinois,2020,133298
Illinois,2021,132189
Indiana,2016,83091
Indiana,2017,82170
Indiana,2018,81646
Indiana,2019,80859
Indiana,2020,78616
Indiana,2021,79946
Iowa,2016,39403
Iowa,2017,38430
Iowa,2018,37785
Iowa,2019,37649
Iowa,2020,36114
Iowa,2021,36835
Kansas,2016,38053
Kansas,2017,36519
Kansas,2018,36261
Kansas,2019,35395
Kansas,2020,34376
Kansas,2021,34705
Kentucky,2016,55449
Kentucky,2017,54752
Kentucky,2018,53922
Kentucky,2019,53069
Kentucky,2020,51668
Kentucky,2021,52214
Louisiana,2016,63178
Louisiana,2017,61018
Louisiana,2018,59615
Louisiana,2019,58941
Louisiana,2020,57328
Louisiana,2021,57437
Maine,2016,12698
Maine,2017,12289
Maine,2018,12306
Maine,2019,11779
Maine,2020,11539
Maine,2021,12006
Maryland,2016,73136
Maryland,2017,71641
Maryland,2018,71080
Maryland,2019,70178
Maryland,2020,68554
Maryland,2021,68285
Massachusetts,2016,71317
Massachusetts,2017,70702
Massachusetts,2018,69109
Massachusetts,2019,69117
Massachusetts,2020,66428
Massachusetts,2021,69137
Michigan,2016,113315
Michigan,2017,111426
Michigan,2018,110032
Michigan,2019,107886
Michigan,2020,104074
Michigan,2021,104980
Minnesota,2016,69749
Minnesota,2017,68595
Minnesota,2018,67344
Minnesota,2019,66027
Minnesota,2020,63443
Minnesota,2021,64425
Mississippi,2016,37928
Mississippi,2017,37357
Mississippi,2018,37000
Mississippi,2019,36636
Mississippi,2020,35473
Mississippi,2021,35156
Missouri,2016,74705
Missouri,2017,73034
Missouri,2018,73269
Missouri,2019,72127
Missouri,2020,69285
Missouri,2021,69453
Montana,2016,12282
Montana,2017,11799
Montana,2018,11513
Montana,2019,11070
Montana,2020,10777
Montana,2021,11216
Nebraska,2016,26574
Nebraska,2017,25809
Nebraska,2018,25488
Nebraska,2019,24755
Nebraska,2020,24291
Nebraska,2021,24609
Nevada,2016,36260
Nevada,2017,35756
Nevada,2018,35682
Nevada,2019,35072
Nevada,2020,33653
Nevada,2021,33686
New Hampshire,2016,12267
New Hampshire,2017,12116
New Hampshire,2018,11995
New Hampshire,2019,11839
New Hampshire,2020,11791
New Hampshire,2021,12625
New Jersey,2016,102647
New Jersey,2017,101250
New Jersey,2018,101223
New Jersey,2019,99585
New Jersey,2020,97954
New Jersey,2021,101497
New Mexico,2016,24692
New Mexico,2017,23767
New Mexico,2018,23039
New Mexico,2019,22960
New Mexico,2020,21903
New Mexico,2021,21391
New York,2016,234283
New York,2017,229737
New York,2018,226238
New York,2019,221539
New York,2020,209338
New York,2021,210742
North Carolina,2016,120779
North Carolina,2017,120125
North Carolina,2018,118954
North Carolina,2019,118725
North Carolina,2020,116730
North Carolina,2021,120466
North Dakota,2016,11383
North Dakota,2017,10737
North Dakota,2018,10636
North Dakota,2019,10454
North Dakota,2020,10059
North Dakota,2021,10112
Ohio,2016,138085
Ohio,2017,136832
Ohio,2018,135134
Ohio,2019,134461
Ohio,2020,129191
Ohio,2021,129791
Oklahoma,2016,52592
Oklahoma,2017,50214
Oklahoma,2018,49800
Oklahoma,2019,49143
Oklahoma,2020,47623
Oklahoma,2021,48410
Oregon,2016,45535
Oregon,2017,43631
Oregon,2018,42188
Oregon,2019,41858
Oregon,2020,39820
Oregon,2021,40914
Pennsylvania,2016,139409
Pennsylvania,2017,137745
Pennsylvania,2018,135673
Pennsylvania,2019,134230
Pennsylvania,2020,130693
Pennsylvania,2021,132622
Rhode Island,2016,10798
Rhode Island,2017,10638
Rhode Island,2018,10506
Rhode Island,2019,10175
Rhode Island,2020,10101
Rhode Island,2021,10464
South Carolina,2016,57342
South Carolina,2017,57029
South Carolina,2018,56669
South Carolina,2019,57038
South Carolina,2020,55704
South Carolina,2021,57185
South Dakota,2016,12275
South Dakota,2017,12134
South Dakota,2018,11893
South Dakota,2019,11449
South Dakota,2020,10960
South Dakota,2021,11369
Tennessee,2016,80807
Tennessee,2017,81016
Tennessee,2018,80751
Tennessee,2019,80450
Tennessee,2020,78689
Tennessee,2021,81717
Texas,2016,398047
Texas,2017,382050
Texas,2018,378624
Texas,2019,377599
Texas,2020,368190
Texas,2021,373594
Utah,2016,50464
Utah,2017,48585
Utah,2018,47209
Utah,2019,46826
Utah,2020,45702
Utah,2021,46712
Vermont,2016,5756
Vermont,2017,5655
Vermont,2018,5432
Vermont,2019,5361
Vermont,2020,5133
Vermont,2021,5384
Virginia,2016,102460
Virginia,2017,100391
Virginia,2018,99843
Virginia,2019,97429
Virginia,2020,94749
Virginia,2021,95825
Washington,2016,90505
Washington,2017,87562
Washington,2018,86085
Washington,2019,84895
Washington,2020,83086
Washington,2021,83911
West Virginia,2016,19079
West Virginia,2017,18675
West Virginia,2018,18248
West Virginia,2019,18136
West Virginia,2020,17323
West Virginia,2021,17198
Wisconsin,2016,66615
Wisconsin,2017,64975
Wisconsin,2018,64098
Wisconsin,2019,63270
Wisconsin,2020,60594
Wisconsin,2021,61781
Wyoming,2016,7386
Wyoming,2017,6903
Wyoming,2018,6562
Wyoming,2019,6565
Wyoming,2020,6128
Wyoming,2021,6237
